Program_Name,URL
Health Studies,https://future.utoronto.ca/undergraduate-programs/health-studies/
Health Studies (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/health-studies-health-sciences-stream/
History,https://future.utoronto.ca/undergraduate-programs/history/
History and Philosophy of Science and Technology,https://future.utoronto.ca/undergraduate-programs/history-and-philosophy-of-science-and-technology/
History of Religions,https://future.utoronto.ca/undergraduate-programs/history-of-religions/
Human Biology,https://future.utoronto.ca/undergraduate-programs/human-biology/
Human Biology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/human-biology-health-sciences-stream/
Human Geography,https://future.utoronto.ca/undergraduate-programs/human-geography/
Hungarian Studies,https://future.utoronto.ca/undergraduate-programs/hungarian-studies/
Immunology,https://future.utoronto.ca/undergraduate-programs/immunology/
Indigenous Studies,https://future.utoronto.ca/undergraduate-programs/indigenous-studies/
Industrial Engineering,https://future.utoronto.ca/undergraduate-programs/industrial-engineering/
Industrial Relations and Human Resources,https://future.utoronto.ca/undergraduate-programs/industrial-relations-and-human-resources/
Information Security,https://future.utoronto.ca/undergraduate-programs/information-security/
Integrative Biology,https://future.utoronto.ca/undergraduate-programs/integrative-biology/
Integrative Biology (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/integrative-biology-health-sciences-stream/
International Affairs,https://future.utoronto.ca/undergraduate-programs/international-affairs/
International Development Studies,https://future.utoronto.ca/undergraduate-programs/international-development-studies/
International Relations,https://future.utoronto.ca/undergraduate-programs/international-relations/
Islamic Studies,https://future.utoronto.ca/undergraduate-programs/islamic-studies/
Italian,https://future.utoronto.ca/undergraduate-programs/italian/
Jewish Studies,https://future.utoronto.ca/undergraduate-programs/jewish-studies/
Journalism,https://future.utoronto.ca/undergraduate-programs/journalism/
Kinesiology,https://future.utoronto.ca/undergraduate-programs/kinesiology/
Language Teaching and Learning,https://future.utoronto.ca/undergraduate-programs/teaching-and-learning-italian/
Latin,https://future.utoronto.ca/undergraduate-programs/latin/
Latin American & Caribbean Studies,https://future.utoronto.ca/undergraduate-programs/latin-american-caribbean-studies/
Latin American Studies,https://future.utoronto.ca/undergraduate-programs/latin-american-studies/
Linguistics,https://future.utoronto.ca/undergraduate-programs/linguistics/
Literature and Critical Theory,https://future.utoronto.ca/undergraduate-programs/literature-and-critical-theory/
Literature and Film Studies,https://future.utoronto.ca/undergraduate-programs/literature-and-film-studies/
Management,https://future.utoronto.ca/undergraduate-programs/management/
Material Culture and Semiotics,https://future.utoronto.ca/undergraduate-programs/material-culture/
Materials Engineering,https://future.utoronto.ca/undergraduate-programs/materials-engineering/
Materials Science,https://future.utoronto.ca/undergraduate-programs/materials-science/
Mathematical Applications in Economics and Finance,https://future.utoronto.ca/undergraduate-programs/mathematical-applications-in-economics-and-finance/
Mathematical Sciences,https://future.utoronto.ca/undergraduate-programs/mathematical-sciences/
Mathematics,https://future.utoronto.ca/undergraduate-programs/mathematics/
Mathematics and Its Applications,https://future.utoronto.ca/undergraduate-programs/mathematics-and-its-applications-2/
Mathematics and Its Applications: Physical Science,https://future.utoronto.ca/undergraduate-programs/mathematics-and-its-applications/
Mathematics and Philosophy,https://future.utoronto.ca/undergraduate-programs/mathematics-and-philosophy/
